date,format,startTime,endTime,sessionName,sessionLongName,sessionNumber,sessionTracks,paperID,paperTitle,paperAuthors
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,789, On the Reliability and Validity of Detecting Approval of Political Actors in Tweets ,"Indira Sen, Fabian FlГ¶ck and Claudia Wagner"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,110, Towards Medical Machine Reading Comprehension with Structural Knowledge and Plain Text ,"Dongfang Li, Baotian Hu, Qingcai Chen, Weihua Peng and Anqi Wang"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,1271, Generating Radiology Reports via Memory-driven Transformer ,"Zhihong Chen, Yan Song, Tsung-Hui Chang and Xiang Wan"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,1634, Planning and Generating Natural and Diverse Disfluent Texts as Augmentation for Disfluency Detection ,"Jingfeng Yang, Diyi Yang and Zhaoran Ma"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,1908, Predicting Clinical Trial Results by Implicit Evidence Integration ,"Qiao Jin, Chuanqi Tan, Mosha Chen, Xiaozhong Liu and Songfang Huang"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,1942, Explainable Clinical Decision Support from Text ,"Jinyue Feng, Chantal Shaib and Frank Rudzicz"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,3651, A Knowledge-driven Generative Model for Multi-implication Chinese Medical Procedure Entity Normalization ,"Jinghui Yan, Yining Wang, Lu Xiang, Yu Zhou and Chengqing Zong"
2020-11-16,gather,22:00,00:00,Gather Session 1F,Gather Session 1F: Computational Social Science and Social Media; NLP Applications,1F,Computational Social Science and Social Media; NLP Applications,55, Combining Automatic Labelers and Expert Annotations for Accurate Radiology Report Labeling Using BERT ,"Akshay Smit, Saahil Jain, Pranav Rajpurkar, Anuj Pareek, Andrew Ng and Matthew Lungren"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,1949, Beyond [CLS] through Ranking by Generation ,"CГ­cero Nogueira dos Santos, Xiaofei Ma, Ramesh Nallapati, zhiheng huang and Bing Xiang"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,2792, Tired of Topic Models? Clusters of Pretrained Word Embeddings Make for Fast and Good Topics too! ,"Suzanna Sia, Ayush Dalmia and Sabrina J. Mielke"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,286, Multi-document Summarization with Maximal Marginal Relevance-guided Reinforcement Learning ,"Yuning Mao, Yanru Qu, Yiqing Xie, Xiang Ren and Jiawei Han"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,2931, Improving Neural Topic Models using Knowledge Distillation ,"Alexander Miserlis Hoyle, Pranav Goel and Philip Resnik"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,30, Short Text Topic Modeling with Topic Distribution Quantization and Negative Sampling Decoder ,"Xiaobao Wu, Chunping Li, Yan Zhu and Yishu Miao"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,3419, Querying Across Genres for Medical Claims in News ,"Chaoyuan Zuo, Narayan Acharya and Ritwik Banerjee"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,652, Incorporating Multimodal Information in Open-Domain Web Keyphrase Extraction ,"Yansen Wang, Zhen Fan and Carolyn Rose"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,2994," CMU-MOSEAS: A Multimodal Language Dataset for Spanish, Portuguese, German and French ","AmirAli Bagher Zadeh, Yansheng Cao, Simon Hessner, Paul Pu Liang, Soujanya Poria and Louis-Philippe Morency"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,3540, Combining Self-Training and Self-Supervised Learning for Unsupervised Disfluency Detection ,"Shaolei Wang, Zhongyuan Wang, Wanxiang Che and Ting Liu"
2020-11-16,gather,22:00,00:00,Gather Session 1G,Gather Session 1G: Information Retrieval and Text Mining; Speech and Multimodality,1G,Information Retrieval and Text Mining; Speech and Multimodality,376, Multimodal Routing: Improving Local and Global Interpretability of Multimodal Language Analysis ,"Yao-Hung Hubert Tsai, Martin Ma, Muqiao Yang, Ruslan Salakhutdinov and Louis-Philippe Morency"
