submissionID,title,authors,track,acceptanceStatus,submissionType
267,Making Monolingual Sentence Embeddings Multilingual using Knowledge Distillation,Nils Reimers and Iryna Gurevych,Machine Translation and Multilinguality,Accept,Long Paper
1220,Masking as an Efficient Alternative to Finetuning for Pretrained Language Models,"Mengjie Zhao, Tao Lin, Fei Mi, Martin Jaggi and Hinrich Schütze",Machine Learning for NLP,Accept,Long Paper
2048,MAVEN: A Massive General Domain Event Detection Dataset,"Xiaozhi Wang, Ziqi Wang, Xu Han, Wangyi Jiang, Rong Han, Zhiyuan Liu, Juanzi Li, Peng Li, Yankai Lin and Jie Zhou",Information Extraction,Accept,Long Paper
2894,Measuring Information Propagation in Literary Social Networks,Matthew Sims and David Bamman,Computational Social Science and Social Media,Accept,Long Paper
3563,Measuring the Similarity of Grammatical Gender Systems by Comparing Partitions,"Arya D. McCarthy, Adina Williams, Shijia Liu, David Yarowsky and Ryan Cotterell",Multidisciplinary and AC COI,Accept,Long Paper
233,MedDialog: A Large-scale Medical Dialogue Dataset,"Guangtao Zeng, Wenmian Yang, Zeqian Ju, Yue Yang, Sicheng Wang, Ruisi Zhang, Meng Zhou, Jiaqi Zeng, Xiangyu Dong, Ruoyu Zhang, Hongchao Fang, Penghui Zhu, Shu Chen and Pengtao Xie",Dialog and Interactive Systems,Accept,Long Paper
2205,MEGA RST Discourse Treebanks with Structure and Nuclearity from Scalable Distant Sentiment Supervision,Patrick Huber and Giuseppe Carenini,Discourse and Pragmatics,Accept,Long Paper
2406,Message Passing for Hyper-Relational Knowledge Graphs,"Mikhail Galkin, Priyansh Trivedi, Gaurav Maheshwari, Ricardo Usbeck and Jens Lehmann",Machine Learning for NLP,Accept,Long Paper
16,Meta Fine-Tuning Neural Language Models for Multi-Domain Text Mining,"Chengyu Wang, Minghui Qiu, jun huang and XIAOFENG HE",Information Retrieval and Text Mining,Accept,Long Paper
2289,META: Metadata-Empowered Weak Supervision for Text Classification,"Dheeraj Mekala, Xinyang Zhang and Jingbo Shang",Information Retrieval and Text Mining,Accept,Long Paper
3093,Methods for Numeracy-Preserving Word Embeddings,"Dhanasekar Sundararaman, Shijing Si, Vivek Subramanian, Guoyin Wang, Devamanyu Hazarika and Lawrence Carin",Multidisciplinary and AC COI,Accept,Long Paper
476,MIME: MIMicking Emotions for Empathetic Response Generation,"Navonil Majumder, Pengfei Hong, Shanshan Peng, Jiankun Lu, Deepanway Ghosal, Alexander Gelbukh, Rada Mihalcea and Soujanya Poria","Sentiment Analysis, Stylistic Analysis, and Argument Mining",Accept,Long Paper
1320,Mind Your Inflections! Improving NLP for Non-Standard Englishes with Base-Inflection Encoding,"Samson Tan, Shafiq Joty, Lav Varshney and Min-Yen Kan","Phonology, Morphology and Word Segmentation",Accept,Long Paper
1846,MinTL: Minimalist Transfer Learning for Task-Oriented Dialogue Systems,"Zhaojiang Lin, Andrea Madotto, Genta Indra Winata and Pascale Fung",Dialog and Interactive Systems,Accept,Long Paper
318,Mitigating Gender Bias for Neural Dialogue Generation with Adversarial Learning,"Haochen Liu, Wentao Wang, Yiqi Wang, Hui Liu, Zitao Liu and Jiliang Tang",Dialog and Interactive Systems,Accept,Long Paper
504,MLSUM: The Multilingual Summarization Corpus,"Thomas Scialom, Paul-Alexis Dray, Sylvain Lamprier, Benjamin Piwowarski and Jacopo Staiano",Summarization,Accept,Long Paper
2864,MOCHA: A Dataset for Training and Evaluating Generative Reading Comprehension Metrics,"Anthony Chen, Gabriel Stanovsky, Sameer Singh and Matt Gardner",Language Generation,Accept,Long Paper
3013,MODE-LSTM: A Parameter-efficient Recurrent Network with Multi-Scale for Sentence Classification,"Qianli Ma, Zhenxi Lin, Jiangyue Yan, Zipeng Chen and Liuhong Yu",NLP Applications,Accept,Long Paper
3028,Modeling Protagonist Emotions for Emotion-Aware Storytelling,Faeze Brahman and Snigdha Chaturvedi,Computational Social Science and Social Media,Accept,Long Paper
809,Modeling the Music Genre Perception across Language-Bound Cultures,"Elena V. Epure, Guillaume Salha, Manuel Moussallam and Romain Hennequin",NLP Applications,Accept,Long Paper
3541,Modularized Transfomer-based Ranking Framework,"Luyu Gao, Zhuyun Dai and Jamie Callan",Information Retrieval and Text Mining,Accept,Long Paper
